short_name,sofifa_id,long_name,player_positions,overall,potential,age,dob,height_cm,weight_kg,nationality_id,nationality_name,nation_jersey_number,preferred_foot,skill_moves,international_reputation,shooting,passing,dribbling,defending,physic
J. Love,245888,Joanne Love,"CM, CDM, RM",74,74,35,06/12/85,160,60,42,Scotland,6,Right,3,1,68,69,73,70,62
H. Lauder,245891,Hayley Lauder,"LB, LM",74,74,31,04/06/90,170,62,42,Scotland,7,Left,3,1,57,63,69,72,64
P. Peyraud-Magnin,246178,Pauline Camille Peyraud-Magnin,GK,74,75,29,17/03/92,173,57,18,France,21,Left,1,1,,,,,
Alba Redondo,246774,Alba María Redondo Ferrer,"ST, RW",74,79,24,27/08/96,169,63,45,Spain,21,Right,3,1,77,61,72,17,57
L. Wilms,253417,Lynn Anke Hannie Wilms,RB,74,83,20,03/10/00,173,60,34,Netherlands,15,Right,2,1,52,69,68,71,72
Marta Cardona,253437,Marta Cardona de Miguel,"RM, RW",74,75,26,26/05/95,161,54,45,Spain,9,Right,4,1,67,72,73,26,52
S. Kleinherne,257530,Sophia Kleinherne,CB,74,84,21,12/04/00,169,54,21,Germany,2,Right,2,1,33,46,65,75,72
Misa,258789,María Isabel Rodríguez Rivero,GK,74,81,21,22/07/99,173,66,45,Spain,1,Left,1,1,,,,,
A. Cervantes,261093,Alicia Cervantes Herrera,ST,74,74,27,24/01/94,165,60,83,Mexico,23,Left,2,1,79,53,69,32,65
K. Missipo,261784,Kassandra Missipo,"CM, CDM",74,79,23,03/02/98,159,57,7,Belgium,23,Right,3,1,61,67,76,70,73
Jéssica Silva,261852,Jéssica Nogueira Silva,ST,74,77,26,11/12/94,170,54,38,Portugal,10,Left,4,1,73,54,72,19,54
S. Jensen,227369,Synne Sofie Kinden Jensen,ST,73,77,25,15/02/96,173,62,36,Norway,19,Right,3,2,74,50,73,24,63
M. Sánchez,228724,María Guadalupe Sánchez Morales,LM,73,76,25,20/02/96,167,56,83,Mexico,11,Left,3,1,66,71,73,42,54
R. White,233349,Rosemary Eleanor Florence White,"ST, RM, CAM",73,73,28,06/06/93,165,63,198,New Zealand,13,Right,3,1,71,72,74,29,61
D. Kerkdijk,233759,Danique Kerkdijk,CB,73,75,25,01/05/96,170,64,34,Netherlands,18,Right,2,1,43,55,57,75,75
V. Esson,238280,Victoria Lucy Esson,GK,73,73,30,06/03/91,169,65,198,New Zealand,21,Right,1,1,,,,,
K. Leine,239759,Kristine Bjørdal Leine,"LB, CB",73,78,24,06/08/96,171,57,36,Norway,30,Right,2,1,30,58,56,70,65
O. Chance,241526,Olivia Juliet Bridget Chance,"RM, LM",73,73,27,05/10/93,157,53,198,New Zealand,22,Right,3,1,66,67,70,40,59
Rafaelly Paraná,245187,Rafaela Isabel Lobato Selva,LB,73,73,25,29/02/96,168,65,54,Brazil,23,Left,3,1,51,64,69,71,77
L. Arnot,245881,Lizzie Arnot,"ST, LM",73,77,25,01/03/96,169,54,42,Scotland,21,Right,3,1,75,44,74,22,55
C. Arthur,245883,Chloe Susan Arthur,"CM, CDM",73,76,26,21/01/95,169,58,42,Scotland,14,Right,3,1,67,67,70,69,60
L. Crichton,245890,Leanne Crichton,CM,73,73,33,06/08/87,160,55,42,Scotland,10,Right,3,1,70,71,71,69,56
E. Laurent,246177,Emelyne Ann-Emmanuelle Laurent,"RW, RM",73,85,22,04/11/98,161,50,18,France,13,Right,3,1,64,68,76,20,38
N. Docherty,246967,Nicola Docherty,LB,73,73,28,23/08/92,171,60,42,Scotland,3,Left,3,1,52,58,68,71,65
D. Espinosa,247437,Daniela Espinosa Arce,"RM, CAM, ST",73,84,21,13/07/99,168,62,83,Mexico,7,Right,3,1,72,74,73,34,41
J. Huitema,247512,Jordyn Pamela Huitema,"ST, RW, RM",73,84,20,08/05/01,181,56,70,Canada,7,Right,4,3,74,53,75,24,53
Yao Wei,247747,姚伟,"CM, RM",73,79,23,01/09/97,167,60,155,China PR,21,Right,3,1,70,71,71,55,62
Laia Aleixandri,253435,Laia Aleixandri López,"CB, RB, CDM",73,84,20,25/08/00,170,55,45,Spain,3,Left,2,1,28,55,48,74,72
P. Morroni,256095,Perle Morroni,LB,73,80,23,15/10/97,157,53,18,France,23,Left,2,1,34,64,62,69,58
J. López,260768,Jimena López Fuentes,LB,73,79,22,30/01/99,170,57,83,Mexico,5,Left,2,1,46,62,62,70,60
É. Viens,261514,Évelyne Viens,ST,73,77,24,06/02/97,173,64,70,Canada,9,Right,2,1,77,50,72,19,60
J. Vanhaevermaet,261786,Justine Vanhaevermaet,"CDM, CM",73,73,29,29/04/92,185,72,7,Belgium,10,Right,3,1,66,69,67,71,72
L. De Neve,261788,Laura De Neve,CB,73,76,26,09/10/94,168,56,7,Belgium,18,Left,2,1,45,66,60,74,71
M. Minnaert,261791,Marie Minnaert,"CM, CAM",73,79,22,05/05/99,184,73,7,Belgium,16,Right,3,1,68,72,68,62,70
L. Onzia,261801,Lenie Onzia,"CM, CDM, CAM",73,73,32,30/05/89,170,57,7,Belgium,8,Right,3,1,54,71,71,70,68
Patrícia Morais,261834,Patrícia Isabel Sousa Morais,GK,73,73,29,17/06/92,178,63,38,Portugal,12,Right,1,1,,,,,
Carolina Mendes,261842,Carolina Ana Coruche Mendes,ST,73,73,33,27/11/87,173,59,38,Portugal,18,Right,3,1,79,55,74,18,58
E. Toone,263011,Ella Toone,"RW, RM",73,83,21,02/09/99,163,57,14,England,20,Right,2,1,70,69,73,49,64
H. Bennison,263966,Hanna Bennison,CAM,73,90,18,16/10/02,160,51,46,Sweden,26,Right,2,1,68,75,72,57,57
Li Jiayue,226927,李佳悦,"CB, RB, LB",72,72,31,08/06/90,170,58,155,China PR,13,Right,2,1,43,56,61,73,72
E. Thorsnes,227286,Elise Hove Thorsnes,"ST, LB",72,72,32,14/08/88,174,70,36,Norway,7,Right,3,2,64,66,74,57,85
C. Jaramillo,227454,Christian Carolina Jaramillo Quintero,"LM, CM",72,72,27,15/03/94,167,59,83,Mexico,15,Left,3,3,61,74,74,38,61
Bi Xiaolin,232618,毕晓琳,GK,72,72,31,18/09/89,176,62,155,China PR,1,Right,1,1,,,,,
E. Gielnik,233200,Emily Gielnik,"RW, LW, ST",72,72,29,13/05/92,183,68,195,Australia,15,Right,3,1,68,65,74,26,68
S. Hansen,233322,Synne Skinnes Hansen,"RB, LB",72,75,25,12/08/95,171,65,36,Norway,5,Right,3,1,61,60,67,70,57
A. Green,233339,Anna Green,"LB, LWB",72,72,30,20/08/90,167,62,198,New Zealand,3,Left,3,1,64,65,68,71,69
H. Wilkinson,233353,Hannah Lillian Wilkinson,"ST, RM, LM",72,72,29,28/05/92,178,70,198,New Zealand,17,Right,4,1,73,58,72,23,62
C. Bott,233354,Catherine Joan Bott,"LB, RB, RWB",72,75,26,22/04/95,165,60,198,New Zealand,4,Right,3,1,57,64,70,70,70
L. Agnew,237674,Lindsay Elizabeth Agnew,RB,72,74,26,31/03/95,175,63,70,Canada,22,Right,2,1,65,63,66,70,72
D. Rose,238096,Deanne Rose,"LM, RM",72,81,22,03/03/99,162,62,70,Canada,6,Right,2,1,64,64,71,32,67
S. Woeller,239124,Shannon Elizabeth Woeller,CB,72,72,30,31/12/90,172,64,70,Canada,21,Right,2,1,26,45,49,75,75
R. Bernal,241224,Rebeca Bernal Rodriguez,"LB, CDM",72,75,23,31/08/97,170,62,83,Mexico,6,Left,3,1,41,62,66,71,63
L. Kop,244058,Lize Kop,GK,72,78,23,17/03/98,172,64,34,Netherlands,16,Right,1,1,,,,,
V. Pelova,244064,Victoria Pelova,"CAM, CM",72,80,22,03/06/99,158,55,34,Netherlands,12,Right,3,1,67,67,76,35,55
Licinha Bardini,245184,Lia Juliana Bardini Reis,GK,72,72,33,29/02/88,175,70,54,Brazil,22,Right,1,1,,,,,
A. Eikeland,247535,Amalie Vevle Eikeland,"RM, LM",72,73,25,26/08/95,164,67,36,Norway,15,Right,3,1,68,67,72,24,52
J. Roddar,248790,Julia Elisabeth Roddar,"CDM, CM",72,72,29,16/02/92,167,59,46,Sweden,20,Right,3,1,38,64,55,69,69
A. González,261092,Alison Hecnary Gonzalez Esquivel,"ST, RW",72,84,19,31/01/02,169,51,83,Mexico,20,Right,3,1,76,58,74,25,45
J. Odeurs,261787,Justien Odeurs,GK,72,77,24,30/05/97,174,70,7,Belgium,1,Right,1,1,,,,,
N. Evrard,261794,Nicky Evrard,GK,72,76,26,26/05/95,176,58,7,Belgium,21,Right,1,1,,,,,
D. Vanmechelen,261795,Davinia Vanmechelen,"LW, LM",72,80,21,30/08/99,161,63,7,Belgium,14,Left,4,1,67,69,73,23,48
C. Vande Velde,261798,Chloé Vande Velde,"CM, RM, LM",72,77,24,06/06/97,169,58,7,Belgium,19,Right,3,1,70,71,73,64,66
Tatiana Pinto,261835,Tatiana Vanessa Ferreira Pinto,CM,72,73,27,28/03/94,167,55,38,Portugal,11,Right,3,1,51,68,67,65,58
Diana Silva,261837,Diana Micaela de Sousa e Silva,"ST, LW",72,75,26,04/06/95,161,54,38,Portugal,19,Left,3,1,78,64,72,18,60
Andreia Norton,261838,Andreia Alexandra Norton,"CM, RM, LM",72,77,24,15/08/96,161,58,38,Portugal,8,Right,3,1,59,69,64,59,64
Fátima Pinto,261841,Fátima Figueira Pinto,"CM, LM",72,77,25,16/01/96,169,59,38,Portugal,13,Left,3,1,48,72,67,59,66
K. Cooney-Cross,262866,Kyra Cooney-Cross,CAM,72,88,19,15/02/02,165,60,195,Australia,22,Right,2,1,71,73,72,39,45
A. Cook,264011,Alana Cook,CB,72,76,24,11/04/97,175,68,95,United States,26,Right,2,1,41,55,68,72,75
Song Duan,226964,宋端,"CM, CDM",71,74,25,02/08/95,168,54,155,China PR,15,Right,3,1,69,62,70,70,63
N. Antonio,227486,Nancy Guadalupe Antonio Lopez,"CDM, CM",71,75,25,02/04/96,174,60,83,Mexico,16,Right,2,1,58,61,65,69,74
B. Hassett,233348,Betsy Doon Hassett,"CAM, LM, RM",71,71,30,04/08/90,157,55,198,New Zealand,12,Left,3,1,69,69,72,38,57
T. Hansen,239756,Tuva Hansen,CB,71,80,23,04/08/97,165,55,36,Norway,4,Right,2,1,28,38,45,76,61
K. Rood,241565,Katie Rood,"LW, ST, CAM",71,71,28,02/09/92,164,62,198,New Zealand,9,Right,3,1,66,67,71,31,52
M. Kelly,242025,Maegan Kelly,"LM, LW",71,71,29,19/02/92,164,70,70,Canada,14,Left,3,1,62,68,70,38,56
J. Fife,245892,Jenna Josephine Fife,GK,71,76,25,01/12/95,175,70,42,Scotland,12,Left,1,1,,,,,
L. Staniforth,246235,Lucy Elizabeth Staniforth,CAM,71,71,28,02/10/92,157,54,14,England,21,Right,3,1,60,72,72,40,52
Luo Guiping,250773,罗桂平,"RB, CB",71,71,28,20/04/93,168,63,155,China PR,22,Right,3,1,31,64,60,70,62
É. De Almeida,253469,Élisa De Almeida,"CB, RB",71,79,23,11/01/98,174,61,18,France,22,Right,2,1,23,53,57,74,62
I. González,254564,Itzel González Rodríguez,GK,71,71,26,14/08/94,172,65,83,Mexico,12,Right,1,1,,,,,
Joana Marchão,261833,Joana Filipa Gaspar Marchão,LB,71,76,24,24/10/96,165,53,38,Portugal,5,Left,3,1,40,60,60,70,64
Ana Capeta,261844,Ana Inês Palma Capeta,"ST, LW",71,80,23,22/12/97,168,63,38,Portugal,20,Right,4,1,71,57,68,19,63
Inês Pereira,261848,Inês Teixeira Pereira,GK,71,79,22,26/05/99,168,64,38,Portugal,1,Right,1,1,,,,,
J. Montoya,264630,Joseline Montoya,"RM, RW",71,80,20,03/07/00,158,48,83,Mexico,17,Right,3,1,63,69,73,32,38
J. Orejel,243054,Jocelyn Marie Orejel Tavares,CB,70,74,24,14/11/96,182,73,83,Mexico,4,Right,2,1,27,45,40,69,78
S. Lynn,245887,Shannon Lynn,GK,70,70,35,22/10/85,175,58,42,Scotland,23,Right,1,1,,,,,
C. Kvamme,247531,Cecilie Redisch Kvamme,RB,70,73,25,11/09/95,158,56,36,Norway,22,Right,2,1,33,59,64,68,61
E. Kullberg,258915,Emma Kullberg,CB,70,71,29,25/09/91,170,63,46,Sweden,3,Right,2,1,35,45,52,73,66
S. Van Belle,261792,Shari Van Belle,"LB, RB",70,78,21,22/12/99,164,51,7,Belgium,5,Right,3,1,25,50,61,69,54
A. Tysiak,261793,Amber Tysiak,CB,70,78,21,26/01/00,177,70,7,Belgium,4,Right,2,1,25,41,41,71,69
C. Tison,261806,Charlotte Tison,CB,70,76,23,21/04/98,165,56,7,Belgium,15,Right,2,1,27,47,57,71,66
Telma Encarnação,261849,Telma Raquel Velosa Encarnaçao,ST,70,78,19,11/10/01,169,60,38,Portugal,23,Right,3,1,69,59,65,25,62
Kika Nazareth,261855,Francisca Ramos Nazareth Sousa,ST,70,82,18,17/11/02,170,52,38,Portugal,16,Right,3,1,69,59,69,17,62
Rute Costa,261857,Ana Rute Campos Costa,GK,70,73,27,01/06/94,170,60,38,Portugal,22,Right,1,1,,,,,
A. Harrison,227141,Amy Bianca Harrison,"CM, RM, RB",69,72,25,21/04/96,171,58,195,Australia,23,Left,3,1,67,64,68,52,61
C. Ferral,241225,Cristina Del Carmen Ferral Montalván,"CB, CDM",69,69,28,16/02/93,165,57,83,Mexico,14,Right,2,1,66,69,69,70,69
B. Campos,241286,Briana Marie Campos Barrientez,"CDM, CM",69,72,27,03/02/94,160,60,83,Mexico,18,Right,2,1,58,61,68,67,61
T. Åsland,247536,Therese Sessy Åsland,"CM, CAM",69,72,25,26/08/95,160,60,36,Norway,13,Right,2,1,67,67,69,59,74
M. Fowler,248799,Mary Fowler,"ST, CAM",69,86,18,14/02/03,172,60,195,Australia,11,Left,3,1,70,55,75,25,50
D. Evangelista,254997,Diana Laura Evangelista Chávez,"ST, RW",69,72,26,05/11/94,156,53,83,Mexico,21,Right,4,1,74,61,70,39,52
M. Cadena,255013,Mariana Cadena Calvillo,CB,69,74,26,13/02/95,168,62,83,Mexico,13,Right,2,1,39,48,51,70,69
E. Cascarino,256094,Estelle Cascarino,"CB, LB",69,78,24,05/02/97,161,52,18,France,17,Left,2,1,35,59,64,70,67
L. Wajnblum,261811,Lola Wajnblum,ST,69,73,25,22/01/96,161,59,7,Belgium,3,Right,3,1,72,46,67,22,49
Andreia Jacinto,261843,Andreia de Jesus Jacinto,"CM, RM",69,79,19,08/06/02,169,59,38,Portugal,6,Right,3,1,46,67,67,63,67
Andreia Faria,261845,Andreia Martins Faria,CM,69,79,21,19/04/00,164,55,38,Portugal,21,Right,3,1,61,66,66,60,57
Alícia Correia,261854,Alícia Lima Correia,LB,69,81,18,29/04/03,159,53,38,Portugal,3,Left,3,1,41,53,61,68,60
K. Rodríguez,262826,Karina Rodríguez,CB,69,77,22,02/03/99,166,59,83,Mexico,3,Left,2,1,38,43,48,71,71
S. Smith,264012,Sophia Smith,RW,69,78,20,10/08/00,165,62,95,United States,27,Right,3,1,68,64,71,41,53
A. Rodríguez,264626,Anika Rodríguez,"RW, RB",69,73,24,31/12/96,157,57,83,Mexico,8,Right,3,1,66,65,71,60,53
A. Phillips,233361,Aimee Phillips,"ST, CF",68,68,30,06/05/91,158,55,198,New Zealand,11,Right,3,1,69,56,67,19,53
P. Satchell,238279,Paige Therese Satchell,"LW, LM",68,75,23,13/04/98,163,50,198,New Zealand,19,Left,3,1,56,63,67,29,49
J. Hellstrom,242027,Jenna Hellstrom,"RM, LM",68,68,26,02/04/95,168,64,70,Canada,25,Right,3,1,57,58,72,45,58
K. Roestbakken,250977,Karly Roestbakken,"LB, RB",68,84,20,17/01/01,165,61,195,Australia,2,Right,2,1,31,50,67,66,59
C. Bunge,256117,Claudia Mary Bunge,CB,68,78,21,21/09/99,173,63,198,New Zealand,16,Right,2,1,33,47,57,70,70
G. Pettersen,258940,Guro Pettersen,GK,68,68,29,22/08/91,175,67,36,Norway,12,Right,1,1,,,,,
M. Villeda,261113,Melany Aylin Villeda Medina,GK,68,78,19,25/10/01,165,55,83,Mexico,22,Right,1,1,,,,,
I. Iliano,261802,Isabelle Iliano,LB,68,73,24,02/03/97,170,58,7,Belgium,17,Left,3,1,24,46,54,67,53
D. Lemey,261804,Diede Lemey,GK,68,72,24,07/10/96,170,58,7,Belgium,12,Right,1,1,,,,,
M. Coutereels,261807,Maud Coutereels,"CB, CDM",68,68,35,21/05/86,170,58,7,Belgium,29,Right,2,1,27,59,55,72,59
Catarina Amado,261858,Catarina Isabel Silva Amado,"RB, RM, RW",68,78,21,21/07/99,165,55,38,Portugal,2,Right,3,1,58,61,66,63,54
S. Morton,243875,Sarah Morton,"LB, CB, LWB",67,74,22,28/08/98,166,58,198,New Zealand,15,Right,2,1,37,57,58,70,62
A. Mikalsen,244890,Aurora Watten Mikalsen,GK,67,72,25,21/03/96,175,65,36,Norway,28,Left,1,1,,,,,
N. Stratford,254489,Nicole Ellen Stratford,CB,67,67,32,01/02/89,177,68,198,New Zealand,6,Right,2,1,25,44,47,67,72
J. Blakstad,264233,Julie Blakstad,"LM, LB",67,84,19,27/08/01,175,60,36,Norway,23,Left,3,1,58,63,69,57,57
M. Delgadillo,264627,Myra Delgadillo,ST,67,70,25,08/12/95,175,60,83,Mexico,9,Right,2,1,69,62,70,29,51
S. Skilton,243421,Stephanie Skilton,"RW, RWB, ST",66,66,26,27/10/94,175,66,198,New Zealand,18,Right,3,1,65,56,67,64,59
T. Micah,248751,Teagan Jade Micah,GK,66,75,23,20/10/97,176,78,195,Australia,12,Right,1,1,,,,,
D. García,256208,Diana Laura García Castillo,RM,66,76,21,11/11/99,167,57,83,Mexico,19,Right,2,1,58,64,69,43,39
M. van der Meer,256251,Marisa Isabel Van Der Meer,"LB, LWB",66,78,19,27/03/02,167,60,198,New Zealand,20,Left,2,1,38,61,62,62,56
H. Eurlings,261799,Hannah Eurlings,"CF, ST",66,81,18,01/01/03,170,58,7,Belgium,7,Right,4,1,63,65,72,31,49
Ana Dias,261856,Ana Inês Costa Mendes Dias,ST,66,75,23,02/10/97,171,60,38,Portugal,17,Right,3,1,67,51,63,16,60
G. Rennie,263000,Gabi Rennie,"ST, RW",66,79,19,07/07/01,168,64,198,New Zealand,23,Right,2,1,69,55,67,35,51
C. Nevin,262867,Courtney Nevin,LB,62,77,19,12/02/02,168,65,195,Australia,21,Left,2,1,25,52,57,55,53
C. Grant,262868,Charlotte Grant,"RB, CB",60,75,19,20/09/01,172,70,195,Australia,14,Right,2,1,29,49,58,56,59